No,Type,Refit,Concentration,Grid,Features,Layer,X,Y,Material,MXL(mm),MXW(mm),MXT(mm),Weight(g),Mat_no,Memo,MF
1 ,FL,,,X-19（E）,,,,,SH,20 ,25 ,4 ,2 ,,,0 
3 ,CH,,,I-25（E）,,埋土,,,SH,14 ,18 ,5 ,1 ,13 ,,0 
4 ,CH,,,I-25（E）,,,,,SH,17 ,19 ,2 ,1 ,5 ,,0 
6 ,BL,,,I-25（E）,,埋土,,,SH,32 ,16 ,3 ,2 ,,,0 
7 ,RF,1 ,,I-40（E）,,埋土,,,SH,15 ,22 ,5 ,1 ,1 ,,1 
9 ,FL,,,P-21（E）,,埋土,,,?,32 ,30 ,8 ,8 ,,,0 
10 ,FL,,,P-21（E）,,埋土,,,SH,30 ,20 ,4 ,2 ,,,0 
11 ,FL,,,P-22（E）,,埋土,,,SH,25 ,18 ,3 ,1 ,,,0 
12 ,CH,,,G-30（E）,,埋土,,,SH,18 ,12 ,2 ,0 ,,,0 
13 ,CH,,,L-37（E）,,埋土,,,SH,10 ,13 ,2 ,0 ,,,0 
14 ,FL,,,P-22（E）,,埋土,,,SH,22 ,25 ,3 ,1 ,,,0 
15 ,RF,,,P-21（E）,,埋土,,,SH,61 ,27 ,12 ,16 ,,,0 
16 ,FL,,,P-22（E）,,埋土,,,SH,26 ,17 ,2 ,1 ,,,0 
17 ,CH,,,J-38（E）,,埋土,,,SH,16 ,15 ,2 ,0 ,,,0 
19 ,FL,,,F-29（E）,,埋土,,,SH,25 ,16 ,2 ,0 ,,,0 
20 ,CH,,3 ,M-38（E）,,,,,SH,10 ,14 ,3 ,0 ,,,0 
21 ,FL,6 ,3 ,M-38（E）,,,,,SH,,,,,3 ,,0 
22 ,FL,24 ,3 ,M-38（E）,,,,,SH,39 ,22 ,10 ,6 ,16 ,,0 
24 ,RF,,3 ,M-38（E）,,,,,SH,31 ,29 ,6 ,3 ,16 ,,1 
25 ,FL,26 ,3 ,M-38（E）,,,,,SH,33 ,26 ,9 ,7 ,16 ,,0 
26 ,CO,,,N-32（E）,,,,,SH,35 ,44 ,28 ,,12 ,,0 
27 ,RBL,,3 ,M-38（E）,,,,,SH,100 ,39 ,14 ,44 ,23 ,,1 
28 ,CH,,,M-42（E）,,,,,SH,20 ,14 ,2 ,0 ,,,0 
29 ,FL,,3 ,M-38（E）,,,,,SH,59 ,36 ,9 ,15 ,,,0 
30 ,CH,1 ,3 ,M-38（E）,,,,,SH,17 ,18 ,5 ,1 ,1 ,,0 
31 ,FL,26 ,3 ,M-38（E）,,,,,SH,32 ,18 ,8 ,4 ,16 ,,0 
32 ,CH,,3 ,M-38（E）,,,,,SH,12 ,12 ,2 ,0 ,16 ,,0 
33 ,CH,,3 ,M-38（E）,,,,,SH,9 ,8 ,4 ,0 ,,,0 
34 ,FL,,3 ,M-38（E）,,,,,SH,42 ,61 ,13 ,29 ,,,1 
35 ,FL,1 ,3 ,M-38（E）,,,,,SH,62 ,58 ,23 ,68 ,1 ,,1 
36 ,FL,,3 ,M-38（E）,,,,,SH,18 ,21 ,5 ,2 ,16 ,,0 
37 ,CH,,3 ,M-38（E）,,,,,SH,15 ,8 ,2 ,0 ,16 ,,0 
38 ,FL,1 ,3 ,M-38（E）,,,,,SH,26 ,30 ,6 ,3 ,1 ,,0 
39 ,FL,26 ,3 ,M-38（E）,,,,,SH,30 ,32 ,9 ,8 ,16 ,,0 
40 ,RF,,3 ,M-38（E）,,,,,SH,53 ,21 ,11 ,9 ,13 ,,0 
41 ,FL,5 ,3 ,M-38（E）,,,,,SH,,,,,3 ,,0 
42 ,FL,,3 ,M-38（E）,,,,,SH,30 ,55 ,14 ,25 ,,,0 
43 ,RF,,3 ,M-38（E）,,,,,SH,18 ,19 ,5 ,2 ,16 ,,0 
44 ,CO,10 ,3 ,M-38（E）,,,,,SH,67 ,47 ,11 ,38 ,4 ,,0 
45 ,RF,24 ,3 ,M-38（E）,,,,,SH,38 ,37 ,13 ,11 ,16 ,,1 
46 ,FL,1 ,3 ,M-38（E）,,,,,SH,24 ,35 ,10 ,6 ,1 ,,0 
47 ,FL,27 ,3 ,M-38（E）,,,,,SH,22 ,14 ,6 ,1 ,16 ,,0 
48 ,FL,4 ,3 ,M-38（E）,,,,,SH,,,,,3 ,,0 
49 ,CH,,3 ,M-38（E）,,,,,SH,13 ,10 ,6 ,1 ,,,0 
50 ,FL,1 ,3 ,M-38（E）,,,,,SH,63 ,53 ,22 ,52 ,1 ,,1 
51 ,FL,,3 ,M-38（E）,,,,,SH,27 ,22 ,5 ,1 ,,,0 
52 ,FL,5 ,3 ,M-38（E）,,,,,SH,,,,,3 ,,0 
53 ,RBL,,3 ,M-38（E）,,,,,SH,44 ,32 ,13 ,21 ,11 ,,0 
54 ,BL,,3 ,M-38（E）,,,,,SH,43 ,32 ,11 ,14 ,15 ,,0 
55 ,FL,3 ,3 ,M-38（E）,,,,,SH,23 ,31 ,5 ,2 ,3 ,,1 
56 ,CH,,3 ,M-38（E）,,,,,SH,14 ,6 ,2 ,0 ,,,0 
58 ,FL,22 ,3 ,M-38（E）,,,,,SH,46 ,32 ,8 ,8 ,13 ,,0 
59 ,RF,5 ,3 ,M-38（E）,,,,,SH,,,,,3 ,,0 
60 ,SP,,3 ,M-38（E）,,,,,SH,16 ,6 ,4 ,0 ,,,0 
62 ,CH,,,O-40（E）,,,,,SH,12 ,14 ,2 ,0 ,,,0 
63 ,FL,1 ,,L-38（E）,,埋土,,,SH,28 ,20 ,5 ,2 ,1 ,,1 
64 ,RF,,,L-38（E）,,埋土,,,SH,65 ,35 ,9 ,18 ,,,1 
65 ,CH,,3 ,M-39（E）,,埋土,,,TS,20 ,15 ,2 ,1 ,,,0 
66 ,FL,,3 ,M-39（E）,,,,,SH,22 ,27 ,7 ,3 ,,,0 
67 ,RF,,3 ,M-39（E）,,埋土,,,SH,21 ,19 ,6 ,2 ,,,0 
68 ,CH,,3 ,M-39（E）,,埋土,,,SH,13 ,14 ,2 ,0 ,,,0 
71 ,FL,,,N-32（E）,,埋土,,,SH,25 ,26 ,10 ,3 ,,,0 
72 ,FL,,,N-32（E）,,埋土,,,SH,46 ,44 ,10 ,17 ,3 ,,0 
73 ,BL,,,N-32（E）,,埋土,,,SH,59 ,37 ,10 ,17 ,26 ,,1 
74 ,BL,,,N-32（E）,,埋土,,,SH,61 ,32 ,8 ,11 ,27 ,,0 
75 ,FL,,,N-32（E）,,埋土,,,SH,15 ,23 ,6 ,3 ,16 ,,0 
76 ,FL,,,G-32（E）,,,,,SH,26 ,32 ,5 ,4 ,,,0 
78 ,FL,,,I-35（E）,,埋土,,,TF,34 ,29 ,8 ,6 ,,,0 
79 ,CH,,,E-27（E）,,埋土,,,SH,16 ,10 ,1 ,0 ,,,0 
80 ,FL,,,N-23（E）,,埋土,,,?,49 ,28 ,8 ,12 ,,,0 
81 ,CH,,,P-20（E）,,埋土,,,SH,13 ,12 ,4 ,1 ,,,0 
82 ,BL,,,P-39（E）,,Y3,,,SH,105 ,37 ,10 ,30 ,28 ,,1 
83 ,FL,13 ,,G-35（E）,,Y4,,,SH,34 ,48 ,19 ,9 ,5 ,,0 
85 ,FL,,,N-35（E）,,Y3,,,SH,19 ,21 ,3 ,1 ,,,0 
86 ,RBL,,,O-39（E）,,Y5M,,,SH,71 ,41 ,8 ,23 ,24 ,,1 
87 ,FL,,,O-34（E）,,Y3,,,SH,56 ,32 ,14 ,21 ,12 ,,0 
88 ,FL,,3 ,M-38（E）,,,,,SH,27 ,23 ,5 ,4 ,15 ,,0 
89 ,FL,,,E,,表採,,,?,43 ,27 ,9 ,6 ,,,0 
91 ,FL,,,E,,表採,,,Sandstone,28 ,22 ,8 ,4 ,,,0 
92 ,FL,,,E,,表採,,,?,22 ,17 ,5 ,1 ,,,0 
93 ,FL,,,E,,表採,,,SH,35 ,29 ,6 ,5 ,,,0 
94 ,FL,,,E,,表採,,,SH,15 ,22 ,3 ,1 ,,,0 
95 ,CH,,,E,,表採,,,SH,13 ,13 ,2 ,1 ,,,0 
96 ,CH,,,E,,表採,,,SH,12 ,20 ,3 ,0 ,,,0 
97 ,FL,,,E,,表採,,,SH,20 ,17 ,4 ,1 ,,,0 
98 ,SP,11 ,,E,,表採,,,SH,23 ,11 ,9 ,2 ,5 ,,0 
99 ,FL,,,E,,表採,,,SH,41 ,24 ,5 ,5 ,,,0 
101 ,CH,,,E,,表採,,,?,16 ,18 ,6 ,1 ,,,1 
102 ,FL,,,E,,表採,,,TS,13 ,20 ,1 ,0 ,,,0 
103 ,FL,,,E,,表採,,,TS,18 ,21 ,3 ,1 ,,,0 
104 ,FL,,,E,,表採,,,TF,47 ,38 ,8 ,12 ,,,0 
105 ,FL,,,E,,表採,,,SH,28 ,20 ,5 ,3 ,,,0 
106 ,FL,,,E,,表採,,,SH,36 ,44 ,3 ,5 ,,,0 
107 ,RF,,,E,,表採,,,SH,44 ,39 ,13 ,18 ,,,0 
109 ,CO,,,E,,表採,,,?,20 ,44 ,18 ,14 ,,,0 
110 ,FL,,,E,,表採,,,SH,30 ,1 ,8 ,3 ,10 ,,0 
111 ,CH,,,E,,表採,,,TU,16 ,19 ,3 ,1 ,,,0 
113 ,RF,,,E,,表採,,,SH,21 ,18 ,3 ,1 ,,,0 
114 ,RF,,,E,,,,,SH,3 ,2 ,2 ,3 ,2 ,,1 
117 ,FL,,,E,,表採,,,TF,27 ,30 ,8 ,5 ,,,0 
119 ,RF,,,E,,表採,,,TF,22 ,22 ,3 ,1 ,,,0 
120 ,FL,,,E,,表採,,,CL,22 ,15 ,9 ,4 ,,,0 
121 ,FL,,,E,,表採,,,SH,28 ,14 ,4 ,1 ,,,0 
122 ,CH,,,E,,表採,,,?,19 ,24 ,5 ,2 ,,,0 
123 ,FL,,,E,,表採,,,SH,29 ,31 ,10 ,9 ,9 ,,0 
124 ,CH,,,E,,表採,,,SH,17 ,20 ,2 ,1 ,,,0 
126 ,CH,,,C-46（E）,,表採,,,TF,18 ,19 ,7 ,1 ,,,0 
127 ,CH,,,E,,表採,,,SH,12 ,11 ,2 ,0 ,,,0 
128 ,CH,,,E,,表採,,,SH,17 ,19 ,5 ,1 ,,,0 
129 ,BL,,,E,,表採,,,TF,182 ,55 ,15 ,146 ,,,1 
136 ,SP,11 ,1 ,K-36（E）,,Y3,2181 ,202 ,SH,55 ,23 ,9 ,8 ,5 ,,1 
137 ,SP,15 ,1 ,K-36（E）,,Y3,2068 ,173 ,SH,31 ,15 ,9 ,3 ,5 ,,0 
138 ,RF,2 ,1 ,K-36（E）,,Y3,2102 ,178 ,SH,30 ,31 ,7 ,4 ,2 ,,1 
139 ,CO,23 ,1 ,K-36（E）,,Y3,2087 ,167 ,SH,47 ,47 ,14 ,29 ,14 ,,0 
140 ,FL,,1 ,K-36（E）,,Y3,2072 ,148 ,SH,21 ,23 ,4 ,2 ,,,0 
141 ,CO,2 ,1 ,K-36（E）,,Y3,2052 ,131 ,SH,31 ,39 ,15 ,13 ,2 ,,0 
142 ,SP,11 ,1 ,K-36（E）,,Y3,1996 ,131 ,SH,63 ,16 ,6 ,11 ,5 ,,1 
143 ,SP,2 ,1 ,K-36（E）,,Y3,2154 ,143 ,SH,36 ,17 ,7 ,4 ,2 ,,1 
144 ,RF,14 ,1 ,K-36（E）,,Y3,2149 ,126 ,SH,39 ,45 ,7 ,8 ,5 ,,0 
145 ,FL,17 ,1 ,K-36（E）,,Y3,2147 ,120 ,SH,29 ,39 ,6 ,6 ,7 ,,0 
146 ,RF,,1 ,K-36（E）,,Y3,2139 ,113 ,SH,51 ,27 ,10 ,9 ,8 ,,0 
147 ,FL,11 ,1 ,K-36（E）,,Y3,2162 ,107 ,SH,23 ,44 ,9 ,4 ,5 ,,1 
148 ,FL,17 ,1 ,K-36（E）,,Y3,2100 ,111 ,SH,21 ,24 ,5 ,2 ,7 ,,0 
149 ,CO,2 ,1 ,K-36（E）,,Y3,2065 ,109 ,SH,31 ,44 ,10 ,14 ,2 ,,0 
150 ,SP,2 ,1 ,K-36（E）,,Y3,2046 ,100 ,SH,46 ,15 ,5 ,4 ,2 ,,1 
151 ,FL,15 ,1 ,K-36（E）,,Y3,2057 ,72 ,SH,28 ,24 ,6 ,2 ,5 ,,0 
152 ,FL,15 ,1 ,K-36（E）,,Y3,2009 ,65 ,SH,38 ,52 ,9 ,12 ,5 ,,0 
153 ,FL,23 ,1 ,K-36（E）,,Y3,1974 ,57 ,SH,23 ,25 ,4 ,2 ,14 ,,0 
154 ,CO,17 ,1 ,K-36（E）,,Y3,2003 ,41 ,SH,55 ,42 ,15 ,25 ,7 ,,1 
155 ,RF,,1 ,K-36（E）,,Y3,2050 ,15 ,SH,37 ,25 ,7 ,6 ,,,0 
156 ,CO,17 ,1 ,K-36（E）,,Y3,2111 ,35 ,SH,41 ,37 ,22 ,33 ,7 ,,0 
157 ,CO,16 ,1 ,K-36（E）,,Y3,2096 ,2 ,SH,14 ,31 ,38 ,14 ,6 ,,0 
158 ,FL,16 ,1 ,K-36（E）,,Y3,2184 ,77 ,SH,38 ,27 ,11 ,8 ,6 ,,0 
159 ,FL,17 ,1 ,K-36（E）,,Y3,2173 ,71 ,SH,42 ,33 ,8 ,15 ,7 ,,1 
160 ,PI,17 ,1 ,K-36（E）,,Y3,2165 ,23 ,SH,32 ,40 ,16 ,18 ,7 ,,0 
161 ,FL,16 ,1 ,K-36（E）,,Y3,2217 ,34 ,SH,23 ,23 ,5 ,2 ,6 ,,0 
162 ,FL,23 ,1 ,J-36（E）,,Y3,2147 ,(11),SH,17 ,24 ,3 ,1 ,14 ,,0 
163 ,CO,17 ,1 ,J-36（E）,,Y3,2229 ,(23),SH,66 ,38 ,14 ,27 ,7 ,,1 
164 ,FL,,1 ,J-36（E）,,Y3,2233 ,(32),SH,21 ,24 ,9 ,3 ,5 ,,0 
165 ,CO,23 ,1 ,J-36（E）,,Y3,2227 ,(80),SH,38 ,48 ,11 ,19 ,14 ,,0 
166 ,FL,,1 ,J-36（E）,,Y3,2225 ,(94),SH,19 ,21 ,3 ,2 ,7 ,,0 
167 ,FL,23 ,1 ,J-36（E）,,Y3,2165 ,(66),SH,17 ,27 ,5 ,2 ,14 ,,1 
168 ,FL,23 ,1 ,J-36（E）,,Y3,2146 ,(130),SH,20 ,27 ,14 ,2 ,14 ,,0 
169 ,FL,17 ,1 ,J-36（E）,,Y3,2078 ,(105),SH,21 ,27 ,4 ,2 ,7 ,,1 
170 ,FL,,1 ,J-36（E）,,Y3,2074 ,(121),SH,26 ,33 ,7 ,5 ,5 ,,1 
171 ,FL,23 ,1 ,J-36（E）,,Y3,2051 ,(109),SH,17 ,27 ,11 ,3 ,14 ,,0 
172 ,FL,,1 ,J-36（E）,,Y3,2023 ,(94),SH,21 ,23 ,3 ,1 ,3 ,,0 
173 ,FL,,1 ,J-36（E）,,Y3,1989 ,(55),SH,23 ,17 ,7 ,1 ,,,0 
174 ,KN,,1 ,J-36（E）,,Y3,1928 ,(129),SH,54 ,19 ,4 ,4 ,17 ,,0 
175 ,CO,23 ,1 ,J-36（E）,,Y3,1982 ,(150),SH,54 ,43 ,13 ,20 ,14 ,,0 
176 ,FL,23 ,1 ,J-36（E）,,Y3,2060 ,(249),SH,41 ,12 ,9 ,4 ,14 ,,0 
177 ,FL,8 ,1 ,J-36（E）,,Y3,2117 ,(188),SH,26 ,26 ,4 ,2 ,3 ,,0 
178 ,FL,,1 ,J-36（E）,,Y3,2182 ,(133),SH,21 ,24 ,3 ,1 ,5 ,,0 
180 ,FL,,1 ,J-36（E）,,Y3,2208 ,(222),SH,,,,,5 ,,0 
181 ,CH,,1 ,J-36（E）,,Y3,2242 ,(249),SH,18 ,15 ,2 ,1 ,,,0 
182 ,RF,16 ,1 ,J-36（E）,,Y3,2225 ,(274),SH,22 ,20 ,9 ,3 ,6 ,,0 
183 ,SP,2 ,1 ,J-35（E）,,Y3,2339 ,(299),SH,21 ,9 ,8 ,1 ,2 ,,1 
184 ,KN,,1 ,J-35（E）,,Y3,2303 ,(356),SH,24 ,16 ,3 ,1 ,18 ,,0 
185 ,CO,17 ,1 ,J-36（E）,,Y3,2206 ,(367),SH,63 ,37 ,17 ,31 ,7 ,,0 
186 ,FL,,1 ,J-36（E）,,Y3,2116 ,(392),SH,27 ,18 ,3 ,1 ,11 ,,0 
187 ,FL,,1 ,J-36（E）,,Y3,2068 ,(445),SH,50 ,35 ,16 ,30 ,7 ,,0 
188 ,FL,,1 ,J-36（E）,,Y3,2060 ,(459),SH,23 ,20 ,5 ,1 ,,,0 
189 ,FL,2 ,1 ,J-36（E）,,Y3,2273 ,(443),SH,22 ,22 ,5 ,1 ,2 ,,0 
193 ,KN,,2 ,J-38（E）,,Y3,366 ,(134),SH,91 ,35 ,15 ,36 ,19 ,,1 
194 ,CO,,2 ,K-38（E）,,Y3,395 ,66 ,SH,50 ,36 ,17 ,23 ,,,1 
195 ,RF,,2 ,K-38（E）,,Y3,598 ,116 ,SH,54 ,51 ,8 ,21 ,,,1 
196 ,BL,,2 ,K-37（E）,,Y3,832 ,223 ,SH,54 ,35 ,11 ,23 ,15 ,,1 
197 ,FL,,2 ,K-38（E）,,Y3,640 ,244 ,SH,43 ,40 ,15 ,17 ,3 ,,0 
198 ,FL,7 ,2 ,K-38（E）,,Y3,,,SH,,,,,3 ,,0 
199 ,FL,,2 ,K-38（E）,,Y3,585 ,197 ,SH,31 ,42 ,7 ,7 ,12 ,,0 
200 ,FL,,2 ,K-38（E）,,Y3,492 ,239 ,SH,15 ,28 ,7 ,3 ,1 ,,1 
201 ,FL,7 ,2 ,K-38（E）,,Y3,406 ,247 ,SH,33 ,23 ,10 ,6 ,3 ,,0 
202 ,RF,,2 ,K-38（E）,,Y3,251 ,255 ,SH,57 ,27 ,9 ,9 ,,,1 
